Item,Qty,Status
Tomatoes,0,OUT
"Tortellini, Frozen",2,IN STOCK
Turkey Burger,2 (3.5 lbs),IN STOCK
"Water, Spring Gallon",8,IN STOCK
"Wine, Riunite Lambrusco 1.5L",2,IN STOCK
Worscheshire Sauce,0,OUT
WW Meals (Smart Ones),6,IN STOCK
Yellow Mustard,0,OUT
Yogurt,10,IN STOCK
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
